SAM 3,,,,,,,,,,,
IoUs:,sky,tree,building,road,trafficsign,trafficlight,pole,truck,car,van,mIoU
Clone,0.9195757932,0.7823330918,0.8949209879,0.9045088155,0.3640443178,0.1737005884,0.4756260054,0.09831990846,0.8217481158,0.2274368283,0.6038641805
Morning,0.9247095186,0.7301610752,0.7776066813,0.8575721903,0.3687816851,0.1663940828,0.472946397,0.103608422,0.8269481553,0.2301663962,0.5809698008
Rain,0.9028619138,0.7732412873,0.7925410012,0.8702640716,0.3382880492,0.2303199615,0.4890305213,0.02591612219,0.8117343877,0.2486125191,0.5815774795
Sunset,0.9199188513,0.7885734894,0.7692258466,0.8919292532,0.3854220685,0.1934644384,0.5401529955,0.1026586708,0.8251768377,0.2309206677,0.6018358279
Fog,0.8853148586,0.7716997237,0.5852508933,0.861301015,0.335664843,0.2164078959,0.5161699186,0.04065691918,0.817703019,0.2171065032,0.5589076763
Overcast,0.9261041681,0.6366664312,0.8358976756,0.8989715386,0.3218710561,0.1925798947,0.4902307553,0.04199338923,0.8174851716,0.2757313879,0.5735333423
,,,,,,,,,,,
,,,,,,,,,,,
VGGT + CLIP,,,,,,,,,,,
IoUs:,sky,tree,building,road,trafficsign,trafficlight,pole,truck,car,van,mIoU
Clone,0.8123,0.6985,0.7649,0.7683,0.1505,0.0149,0.0881,0.0046,0.671,0.0619,0.4035
Morning,0.8071,0.7255,0.7675,0.7798,0.204,0.0244,0.1003,0.0051,0.6786,0.0463,0.41386
Rain,0.8112,0.7255,0.6899,0.8282,0.1713,0.1753,0.0839,0.0052,0.6391,0.0599,0.41895
Sunset,0.8136,0.7712,0.7692,0.7845,0.1795,0.1732,0.0055,0.0055,0.6642,0.0322,0.41986
Fog,0.7685,0.7284,0.6838,0.8316,0.0939,0.1283,0.099,0.0002,0.6408,0.0491,0.40236
Overcast,0.8082,0.6928,0.6587,0.8085,0.1928,0.1325,0.0942,0.0133,0.6272,0.0856,0.41138
